UNIQID	AVERAGE	Pv.1	Pv.2	Sst.1	Sst.2	Gad2.1	Gad2.2	Gad2.3	Purkinje.1	Purkinje.2	Purkinje.3	Camk2a.1	Camk2a.2	Camk2a.3	Neocortex.1	Neocortex.2	Neocortex.3	Cerebellum.1	Cerebellum.2	Cerebellum.3
mmu-miR-185	8292.58	17188.51	19149.96	17211.85	17886.78	11251.25	9710.46	9132.31	2205.38	2358.31	2950.67	4373.84	5710.85	6668.16	7733.73	3952.95	8114.98	3504.54	4173.03	4281.51
mmu-miR-15a	7846.31	5580.51	6342.81	10142.56	12902.41	5028.39	6844.53	4778.07	896.69	1017	467.61	6322.61	6967.02	5890.68	6593.68	9245.5	7914.95	16742.1	18365.59	17037.09
mmu-miR-221	7764.65	474.9	377.68	711.62	610.33	1470.27	836.18	3999.15	77.55	56.05	38.47	30653.72	24472.28	21994.51	13959.81	13088.65	17055.06	5057.59	6311.18	6283.26
mmu-miR-598	7521.69	8005.29	9346.8	10330.24	10395.98	5850.2	6732.59	9945.6	3451.06	3707.63	2364.68	5822.08	6390.79	6020.26	3587.67	4026.15	4526.53	13692.9	14019.44	14696.16
mmu-miR-451	7317.97	198.34	146.88	383.18	284.82	80.71	122.73	150.34	402.3	472.46	331.47	124.16	90.45	86.07	14318.11	22082.82	36515.08	20189.72	24212.08	18849.79
mmu-miR-369-5p	6806.75	5448.29	7203.97	9954.88	12568.76	8987.94	9984.24	11463.36	2442.89	2610.56	1438.34	8030.83	9556.55	7025.68	6295.87	10255.7	11038.52	1715.68	1649.17	1657
mmu-miR-127*	6591.63	7734.32	9076.65	12136.66	14615.4	8418.79	7336.79	8065.59	2883.96	2818.76	3850.38	6054.89	7207.18	7307.54	6630.91	6402.8	7173.18	2219.81	2693.94	2613.39
mmu-miR-378	6575.45	4978.98	5528.87	2541.5	3316.13	4106.23	4342.73	7260.89	6199.31	5877.76	8005.59	6211.06	7303.87	6783.55	8720.23	9408.99	6627.74	8562.13	10478.13	8679.8
mmu-miR-376c	6361.76	2178.94	2051.03	2979.43	5086.1	3300.56	3687.28	5064.44	8569.5	9829.63	9219.01	8238.41	7650.85	7922.34	9613.65	12593.31	11540.44	3415.1	4157.85	3775.52
mmu-miR-410	6162.88	9465.36	9792.67	10236.4	6835.71	8787.93	7570.11	9805.28	6456.2	8067.9	5969.42	8163.72	7043.43	7417.26	2145.16	2847.59	3322.67	894.43	1272.56	1000.87
mmu-miR-328	5670.99	6033.06	6333.2	8242.3	6111.45	4877.51	5282.76	3465.07	4691.9	5293.18	4294.31	6582.58	6032.88	6288.87	3643.51	4877.74	4412.63	6496.81	7638.41	7150.69
mmu-miR-384-3p	5518.88	13208.68	10657.33	6490.61	10147.78	8535.28	11749.66	11416.11	2355.64	3099.03	2068.73	2544.37	2461.65	2463.91	2536.03	4377.52	2924.47	2748.34	2854.91	2218.6
mmu-miR-382*	5377.92	8468.08	8672.74	8664.58	7283.29	6622.88	7788.6	8900.35	6698.55	7619.46	4315.03	3694.82	2832.81	3935.63	2335.94	3579.61	4317.25	2138.5	2566.38	1745.97
mmu-miR-425	5357.05	4667.97	4577.67	9290.18	6074.83	5266.3	5598.35	7405.51	7653.41	5833.71	7176.92	2136.96	2493.62	2663.48	5807.28	5392.6	6515.69	3927.36	5154.03	4148.06
mmu-miR-324-5p	5256.14	5563.75	6454.72	7499.39	10090.81	5408.07	4125.6	3520.91	9165.68	9525.33	12400.53	2760.69	3086.23	4322.48	2810.57	1895.95	3101.34	2618.24	2930.84	2585.59
mmu-miR-93	5227.34	2561.65	2987.37	7350.81	7043.22	3794.63	3467.44	5045.82	9354.71	7199.05	11311.41	4516.43	3887.03	6356.03	5341.95	3040.35	4403.37	3252.47	4285.4	4120.26
mmu-miR-379	5111.02	3916.51	4875.79	8429.98	10513.98	6471.29	5249.04	5150.35	2365.34	2582.53	3048.34	7075.35	8597.46	8033.94	6086.48	4082.27	5312.75	1910.83	1627.91	1779.33
mmu-miR-129-1-3p	5093.44	1695.66	1790.5	617.78	1021.29	1471.67	1951.53	2623.14	2942.13	3287.22	1834.92	4357.35	5348.27	3723.76	3336.39	7249.51	4729.34	17856.07	17721.71	13217.09
mmu-miR-377	5080.47	3844.81	2996.99	6224.73	4426.94	3794.63	4580.1	6503.44	9359.56	10025.82	7543.9	6310	6231.72	6253.88	2968.79	5004.63	5514.63	1593.71	1977.18	1373.42
mmu-miR-129-5p	4925.52	3915.58	3352.82	4926.61	4443.21	4542.05	2752.65	2621.71	1866.09	1925.89	1849.72	9164.78	10946.05	9594.58	1982.29	2415.69	3509.73	7830.33	8683.18	7261.89
mmu-miR-500	4565.09	1267.33	1362.98	6490.61	6001.59	4058.51	3912.51	4667.82	4813.07	4488.4	4208.48	2101.07	1982.89	2283.25	5849.16	5973.34	5425.73	6545.6	8865.41	6438.95
mmu-miR-126-5p	4555.06	450.69	377.68	1548.36	1452.59	402.83	615	418.1	1017.87	1425.4	748.77	2845.08	1531.42	2106.38	13424.68	7808.29	8805.81	14140.12	12197.16	15229.96
mmu-miR-154*	4539.19	4277.8	3787.33	6725.21	6249.79	5205.25	5122.27	8124.29	3596.47	4035.95	2702.07	9233.66	6317.49	7875.99	2373.17	3098.92	3966.27	1113.97	1287.75	1151
mmu-miR-1	4310.23	18485.63	23233.67	852.38	736.47	6174.43	5131.71	5685.86	2796.72	2826.77	2432.75	1399.74	1718.56	1814.12	3057.2	1412.81	3291.18	227.67	321.94	294.7
mmu-miR-136	4188.97	6844.12	6000.97	7820.01	7596.59	3271.79	4224.05	5244.85	3053.61	3099.03	2663.6	2508.48	2661.27	2633.21	2517.42	4260.4	4800.64	3789.13	3626.35	2974.82
mmu-miR-27a	4107.36	4623.27	4061.85	5208.13	3983.43	2976.33	2753.99	1626.58	227.81	316.31	124.3	9339.39	8802.54	11163.72	6486.66	3816.3	4397.81	2910.96	2785.06	2435.46
mmu-miR-181d	4055.63	3917.44	3449.86	6733.03	5916.15	4660.65	4129.64	5572.74	5438.33	3687.61	8257.15	2449.31	2632.42	2784.55	3145.61	2127.76	2958.73	2431.22	3523.08	3241.72
mmu-miR-1839-5p	3762.25	2121.21	2816.02	3628.49	3446.34	3471.1	2981.92	3591.07	5525.58	5445.33	6602.76	3471.71	4398.54	4003.73	4397.34	4528.81	6079.52	1553.06	1813.17	1606.96
mmu-miR-551b	3722.66	152.71	157.37	7053.65	6786.89	5845.99	4611.12	6517.76	2050.28	1857.82	1095.03	6295.45	5871.48	5482.08	2810.57	5792.78	7701.96	235.8	200.45	211.3
mmu-miR-3107	3594.84	2237.61	2168.18	2510.22	3133.03	1157.97	1529.4	569.87	15403.76	15002.69	12362.05	365.7	323.59	370.77	237.32	197.65	199.1	3707.82	3316.56	3508.62
mmu-miR-486	3594.72	2237.61	2166.44	2494.58	3137.1	1157.97	1526.7	572.74	15384.38	15022.71	12359.09	366.67	325.15	370.77	241.97	195.21	200.03	3715.95	3310.48	3514.18
mmu-miR-300*	3523.83	5814.24	6964.42	8297.04	10164.05	3889.37	2940.11	4175.26	3005.14	2710.65	3308.78	1378.4	1973.53	2322.98	2522.07	1693.42	3183.76	829.38	929.36	850.74
mmu-miR-770-5p	3505.02	2531.86	2558.98	6334.21	6921.16	4106.23	3281.33	3735.69	8521.03	7803.64	9023.68	1703.36	2126.36	2740.09	1074.91	883.31	1423.34	528.53	747.14	550.48
mmu-miR-29c*	3492.75	3276.79	3312.6	3370.43	3552.13	3659.18	3592.87	3841.64	4498.02	5028.92	4824.07	3276.74	4188.01	3260.3	3750.53	4287.24	3428.24	1772.6	1907.32	1534.67
mmu-miR-409-3p	3457.52	2554.21	2962.02	3714.51	4256.04	4649.42	5031.91	5420.97	1812.78	2054.01	2684.31	5917.14	7809.92	6139.43	3117.69	2969.59	3348.6	398.43	406.98	444.83
mmu-miR-708*	3206.81	3071.01	3184.08	3511.19	3824.74	1951.7	2441.1	3105.67	3833.98	4188.1	3805.98	5288.57	5107.33	5047.94	3997.16	4309.2	2993.92	365.9	406.98	494.88
mmu-miR-194	3152.38	2124.93	2144.58	3018.53	2018.16	1747.48	1803.18	1991.7	1924.26	1701.67	1219.34	1826.55	1896.34	2273.79	1209.85	1041.92	2149.36	9920.04	10970.15	8913.33
